"year","calibrated","pinned"
1985,64.255444324171,56.477409677471
1986,64.8034637157692,56.9713045368062
1987,65.9739415355299,57.9229102710898
1988,66.1803941625647,58.173906417141
1989,66.5818894978431,58.560034014857
1990,67.524618765571,59.3426575951142
1991,68.4839529910829,60.1486911825836
1992,69.2940107803428,60.8483256627647
1993,71.1452443844752,62.31604886383
1994,72.221208785547,63.2343484158196
1995,73.1289589089228,64.0286455320512
1996,74.6285453604671,65.2611332114332
1997,75.9694603362098,66.3838854647264
1998,76.5907146071152,66.984527814461
1999,77.4958297064392,67.782580697064
2000,77.4801165918751,67.9010491130919
2001,78.2384035763217,68.5705075597618
2002,79.4755070544598,69.5935337465711
2003,80.2039566958823,70.250756528174
2004,80.2234728613278,70.3809249107431
2005,79.8300409854912,70.1896213921105
2006,80.2967217850976,70.6169985727566
2007,79.6895838683698,70.2384993002182
2008,78.7801548748482,69.6054664302163
2009,79.4674366071457,70.1491556951186
2010,79.4967150246225,70.2117293088901
2011,77.9134048329621,69.0547189632567
2012,77.1835018714754,68.5043994669507
2013,76.7139568055548,68.1398897676933
2014,76.7401813435845,68.1477159673121
2015,76.1235461652279,67.6743196030942
2016,75.9870484055542,67.5562753495647
2017,76.2897082760567,67.7738954624025
2018,76.7934554293388,68.1517603810241
2019,76.6231032064775,68.0324241668713
2020,75.4227028554533,67.1262374108157
2021,75.3544313233073,67.052877479937
2022,75.7943651373793,67.3685957226084
2023,75.5810598854612,67.2007514611977
2024,75.3188963116669,66.9902400823628
