"year","calibrated","pinned"
1985,63.5938384393957,55.2908929773084
1986,64.1888425537499,55.8023670602022
1987,65.0240771157758,56.4728257522373
1988,65.4781930876214,56.8981488663658
1989,66.0408971089552,57.3914671700789
1990,67.0203771320603,58.161361687267
1991,67.9713939279136,58.9289132826712
1992,69.1623869800486,59.8602777508337
1993,70.9417763294016,61.1884588632369
1994,71.4119516758112,61.6841467036071
1995,72.276800551747,62.4202276642184
1996,73.5901621013153,63.4571285131228
1997,74.9882610506946,64.5578935461073
1998,75.8336596780797,65.3078599679397
1999,76.6844448692188,66.0534881364282
2000,77.0567057252657,66.4795670391583
2001,77.8158526385703,67.143933358316
2002,78.9172612827726,68.0334079626857
2003,79.0371911404336,68.2823817346881
2004,79.5218288326409,68.7528999132354
2005,79.6847978050389,69.0077242104745
2006,80.3590167879331,69.5920123929658
2007,79.7870308666694,69.3360748413859
2008,79.7580993361589,69.4073409100858
2009,80.6966030293848,70.1218594700825
2010,80.4844635182764,70.0796965847655
2011,78.7318442255986,68.9657727773597
2012,78.6058446926315,68.9043513005826
2013,78.5587707656186,68.9003195104076
2014,78.3093477621311,68.7597064564868
2015,78.1841621737655,68.6996448026198
2016,77.8056546032429,68.4641741012655
2017,78.449495493348,68.9224054319103
2018,78.6346652776003,69.0870554181134
2019,78.6158932184301,69.1136325681355
2020,78.073235211794,68.7768206674878
2021,77.9103065261754,68.6810771197081
2022,78.5072004622803,69.1041760868416
2023,78.7630239502686,69.3111066612529
2024,78.3419950890832,69.0544949775789
