"variable","importance"
"stand_age_2006_est",0.0375342294249345
"woody_share",0.0319761485845766
"mean_height_85_dm",0.0307397516826384
"stand_age_85",0.0275102901728623
"basal_area_85",0.0264776323060083
"EstimatedBulkDensity",0.0256347628625583
"ofh_weight_kgm2",0.0216984048420557
"SandContent",0.0173799688865863
"P_seasonality",0.0167004122137018
"mean_precip_annual",0.0162319543858784
"CoarseFragments",0.0159932493893767
"T_seasonality",0.0142455342977616
"SiltContent",0.0136999463234486
"aridity_index",0.0126482116928125
"clay",0.012095496680169
"lat_WGS84",0.0109847032865477
"pH.CaCl2.",0.0106920553403572
"ExchangeableFe",0.0106674378857166
"ExchangeableCa",0.0104682189286716
"base_saturation",0.0102878850809789
"GDD5",0.0102834598476708
"litter_A_frac",0.00987040299362425
"lon_WGS84",0.00985996838657149
"TotalNitrogen",0.009639456268176
"temp_sum_NFI",0.00959011829444337
"CN_ratio",0.00915485123936185
"warmest_month_T",0.0084524589574519
"mean_temp",0.00833777691938686
"litter_E_frac",0.00764179569123343
"pH.H2O.",0.00755648679612983
"conifer_share",0.0071173120306702
"litter_W_frac",0.00707459184014932
"coldest_month_T",0.00691118608774357
"elevation_m",0.00657741267036243
"litter_N_frac",0.00619489247867407
"any_trt_85_95",0.00547159448893033
"ExchangeableAl",0.00506200591020242
"soil_prep_pre85",0.00482711764975123
"kasvup_tyyppi",0.00457831572920779
"CEC",0.00442758501380457
"temp_zone",0.00372686130586702
"dev_class_85",0.00297632520778751
"soil_code",0.00228382822784624
"kasvyo_syke",0.00212832744816934
"kasvyo_ahti",0.00167137992870282
"n_cuts_85_95",0.00142464879950263
"KA",0.00139851161026403
"species_code",0.00112543658872549
"TexturalClass",0.000994520948170283
"ojitustilanne",0.000963881379266755
"profile_depth_cm",6.39031128368794e-05
"koppen_class",4.48090174917879e-05
"any_cut_85_95",4.24964759737949e-05
"alaryhma",0
"shallow",-0.000192024767231295
