"plot_id","n_obs","mean_resid","abs_resid","mean_obs","mean_pred","ratio_obs_pred"
"57673",3,1.45331856033394,1.45331856033394,66.5653536406007,15.4291313787301,4.63921610213502
"47451",3,1.42189692495102,1.42189692495102,118.821622397318,30.1776759773493,4.26051762230986
"57611",3,1.40554017649973,1.40554017649973,106.488659372349,27.3585584263007,4.57193673410073
"37551",3,1.34698232948087,1.34698232948087,119.106331868431,30.0729869703452,3.9428605824297
"69711",3,1.27329263535467,1.27329263535467,127.183272450939,35.3146402140458,3.61331262235083
"15631",3,1.2600224215504,1.2600224215504,126.626539979836,35.9838029940923,3.83010664885257
"9311",1,1.24659249537683,1.24659249537683,166.680478148376,47.9177586436272,3.4784698380408
"73631",3,1.21913677595973,1.21913677595973,92.8328310663413,27.7537254889806,3.39924942152838
"71694",1,-1.19782544926746,1.19782544926746,68.3419896049486,226.410519361496,0.301849886646967
"41771",3,1.18873380152854,1.18873380152854,124.109285226151,38.1366163492203,3.31108938695624
"37254",1,1.16211922847811,1.16211922847811,98.2772839113786,30.743349134922,3.1967006418225
"23673",1,1.13340164572123,1.13340164572123,277.611837638229,89.373321890831,3.10620475735847
"13591",3,-1.13012065498394,1.13012065498394,75.393829519181,222.491808772087,0.335463657939301
"45391",2,1.12930855796679,1.12930855796679,154.673006890516,48.4148420989513,3.16140651666724
"43732",1,1.11126077883645,1.11126077883645,211.273661060499,69.5393991470337,3.03818646194775
"29351",3,1.10190826901036,1.10190826901036,86.2563546647982,27.5860772331556,3.1792150468193
"41333",3,-1.09734198570095,1.09734198570095,42.6017346987137,123.869038502375,0.339053416899898
"47652",1,1.0771965931735,1.0771965931735,174.436109401579,59.404022693634,2.93643597675536
"11272",1,1.07714486725573,1.07714486725573,142.866207276268,48.6554443836212,2.93628409083775
"33452",1,-1.07686265293634,1.07686265293634,87.4391853068316,256.67384147644,0.340662627729665
"7351",3,1.07643667821825,1.07643667821825,157.164687075726,49.5444727440675,3.1106814301351
"63511",3,1.0631524662823,1.0631524662823,57.8434262599291,18.8203042646249,3.0512970627867
"101471",3,1.04598693910422,1.04598693910422,81.4440192202511,28.385562201341,2.86945903187426
