"plot_id","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"3293",4.06272445331332,4.06225300893142,4.06722022014373,4.06176015445993,4.05425133763074,4.03814441386134,4.03877936514187,4.02035947843647,4.00602232971607,4.06707485642037,4.05642872982013,4.08018693596977,4.08409158270388,4.0704544600856,4.11355131237739,4.11409478952521,4.16059906008435,4.19492351071214,4.25220972780103,4.244998083511,4.27234492307944,4.31693430142027,4.34736707884936,4.33700157416616,4.35437018350689,4.44350025706637,4.5277153636879,4.51934739981192,4.57370593365405,4.6479577471597,4.64204794959549,4.71339715697374,4.69298222058255,4.81598777633973,4.8190321217965,4.82213907659891,4.9285093343954,4.96123060247457,4.98573870879733,5.06621659100795
"3314",2.63852142220975,2.63190900416656,2.63269292154481,2.632693175703,2.63196330085443,2.6247395648177,2.63480689521041,2.62885128109266,2.62844720555114,2.69485576030924,2.69181020439016,2.72366914108668,2.74224606413467,2.75526831062914,2.80602373690427,2.83661553169673,2.87969557349929,2.90607788658714,2.94981527856168,2.98737029112223,3.02575025723869,3.0503859269392,3.07502336294284,3.09366575086676,3.10406830867229,3.14137633181881,3.18780781175268,3.19957858536601,3.22432089085048,3.26168256159079,3.27702182840199,3.3126600714921,3.32885740789711,3.37979494481196,3.39972322272828,3.41308538799133,3.44639676247841,3.46500229931506,3.48865395215786,3.53146276289206
"5311",3.7022829118452,3.70227581792903,3.70981411199381,3.71018038378766,3.70472066645773,3.6867436366511,3.69505531858969,3.68440117026363,3.67826990257752,3.75928472946368,3.75210619480842,3.77716263042875,3.78602634882386,3.77923742599622,3.82942555677593,3.83831359286307,3.88298273317557,3.91425572445976,3.96909509545263,3.97123745462327,4.02219376591829,4.08624905574359,4.11786918678248,4.11061374272386,4.11608206849456,4.16908136081757,4.23212903130454,4.23339657735121,4.27561217665981,4.34590370383815,4.35291251205459,4.4192794994704,4.40348519425456,4.49973131831682,4.51147273490113,4.52124335465043,4.60666040513273,4.64331439345282,4.68290275030284,4.76878264817385
"5333",6.21491112032032,6.21361400489547,6.21781402532206,6.21017237810651,6.19476355577581,6.1631806382861,6.16299079254963,6.12876072497639,6.10230009313736,6.17797068990664,6.15886854992701,6.19754739408682,6.23292552779991,6.21411562114533,6.28596393385911,6.27429181307531,6.33149098141212,6.37057631680892,6.42920154338465,6.40332909055789,6.40434649169372,6.40961524479777,6.42273264465423,6.41943438128772,6.43775664104011,6.55168046053651,6.71637267799444,6.74768766964072,6.83027241719366,6.95076291277717,6.97183582428373,7.09338129102282,7.08686335210091,7.28817327880088,7.34053011250271,7.36729282648716,7.52738252388694,7.57871739612621,7.63564674673559,7.79493750602504
"5371",2.68260387741164,2.67788921029794,2.67895822354205,2.67662394016283,2.67353049463114,2.66088930531558,2.66565007135703,2.65470129739028,2.64766729048301,2.70613950812107,2.69463376146386,2.71393973877447,2.72266673939532,2.72305027122142,2.75494122672761,2.76532360116056,2.79304606788804,2.81126564787469,2.84050618856702,2.85388600616525,2.87461423990958,2.89737262298046,2.91197583172714,2.911822979218,2.91836591307714,2.95483208323639,2.99934376290036,3.00165085869046,3.02758124022687,3.06818555486582,3.07299222716057,3.1125769778951,3.10803152153681,3.17917903638994,3.18847578943779,3.19450928474661,3.2546999420917,3.2744354532844,3.2956421257915,3.35663996582638
"7271",2.42344625965641,2.42157787674818,2.42712205276059,2.4301900130034,2.43346142178728,2.42432385720975,2.44000773703621,2.43518251251191,2.43772301646151,2.51977504662489,2.51941417762512,2.56233767725807,2.59926891611726,2.61215604431443,2.67762418731531,2.71390599280025,2.77009528354358,2.80356738099006,2.85626441420237,2.9016916612867,2.94114183347095,2.96735829716145,2.96772136956056,2.95906550068684,2.94603857473006,2.94909141430773,2.96749072910905,2.9642544796331,2.98099947690289,3.01256696457882,3.01290518830582,3.05242723527194,3.05163169940899,3.11554457218754,3.12550460456486,3.13408548607876,3.1934412164193,3.2184387465381,3.24023318220095,3.29760493163287
"7351",1.61106274565682,1.61092530673111,1.61586219617259,1.61846258689209,1.62097153745634,1.61186138065003,1.62257304973909,1.618750417626,1.61955243186964,1.68137522398228,1.68106510276116,1.69555440456193,1.70839590253606,1.71800869719024,1.76102606960577,1.78625663338909,1.82983633738968,1.86789344322471,1.92362290947734,1.9695461455054,2.02686053629292,2.10140071414468,2.19021940812636,2.27253791648418,2.33062130134755,2.38122822091966,2.45158847206625,2.54262791991926,2.703938026963,2.93983274564686,3.18250127743758,3.39922034237695,3.71571318353415,3.84126377841061,3.93245753141995,3.88478896642791,3.73523629735516,3.64741706069058,3.56987152045635,3.45764086914159
"9251",3.02796686330829,3.02018210352199,3.0247629289001,3.03275287580314,3.04200055552972,3.03560579195633,3.06174990779668,3.0565379552556,3.06369104518808,3.17501899798006,3.17654327755451,3.21889843664825,3.26331071585378,3.29228152841367,3.37837798160605,3.43963447584114,3.51610927766937,3.56869924936492,3.65129876376841,3.73688281214469,3.81808067503198,3.89796035255847,3.94696533723016,3.98812408707268,3.99119922058796,4.00528408219416,4.04391764774621,4.05815923216243,4.08288997538771,4.12485018390183,4.15165652938954,4.20250782491661,4.24410618264959,4.32602200392789,4.37478004408273,4.41728112219106,4.46974233303452,4.50607982241738,4.5502922200037,4.60820076982185
"9271",4.23040711731591,4.23527147101535,4.24541344950947,4.24113841169812,4.23633495969846,4.2098242821437,4.22490432753775,4.20945047790042,4.20314350865973,4.32860287068373,4.31940863213603,4.35749518261781,4.38792352366753,4.37162736349782,4.44586115455365,4.45048518487164,4.51703944897803,4.56120819761914,4.63723228766295,4.63975143084096,4.67693957562386,4.70971836109032,4.72550263284692,4.71434773350018,4.72032979890087,4.79174393062833,4.88302005366235,4.88901636893331,4.95429668020406,5.04539059022168,5.03402685639294,5.12258023813653,5.09885220449132,5.21442997781954,5.2177630483554,5.22737672887808,5.33036997251514,5.36420576442082,5.39485430866502,5.496077570295
"9291",5.11304526927924,5.12304234256714,5.13178907982125,5.12231162544532,5.10958906593507,5.0765160642437,5.07785004751504,5.05022303533107,5.03006487320915,5.11405274491037,5.10729817452841,5.12201023074405,5.13001650061586,5.11018106695739,5.17177671913546,5.1653138751425,5.23537114866376,5.29007981201084,5.38467532508823,5.35574873873066,5.39003258980488,5.55718285763188,5.60403573896669,5.50527884467649,5.50954527919862,5.64119748657087,5.75741169383088,5.74520869897139,5.89870456894932,6.23514236382842,6.35236267312994,6.81324401050632,6.74816090021176,7.07495070598614,6.92809654451643,6.93473931079467,6.93724522043518,6.89245291845414,6.83845538074336,6.79008752411915
