"plot_id","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"3293",1.3868333789508,1.38330749160049,1.38254317011593,1.38145168838161,1.38333279438788,1.38194115089574,1.37985802481695,1.37828785124723,1.37968214123167,1.38828750148104,1.39771356585828,1.4069394588167,1.41984896016012,1.43108594342344,1.44734306279636,1.46392834979852,1.48410782195037,1.51089728968743,1.53961578696308,1.56256309010467,1.58765231891333,1.61869359411193,1.64639302514225,1.66933880374824,1.69755172234444,1.72811803494022,1.75941790069413,1.7855984478749,1.81798278239322,1.85168251082369,1.88327926072198,1.91777436106368,1.94719471309016,1.98572217333597,2.01880002163074,2.05244895384111,2.09256263983585,2.13248002516171,2.16980969174436,2.21044536248912
"5311",1.36078174213963,1.35433707036226,1.35112939244163,1.3484918901729,1.34818538342795,1.34676534939083,1.34907504142985,1.35197570509655,1.3567887602152,1.37012981073474,1.38282979742884,1.39854635081461,1.4167717347137,1.43353037708698,1.45547771145464,1.47571092220024,1.50002542024603,1.52988436215167,1.56098177601833,1.5837014616383,1.63143975200158,1.6766619184036,1.70969385217395,1.72626516694692,1.74330850156268,1.76435474586628,1.78708658368491,1.80585312412078,1.83038204468181,1.86148845005517,1.89084467117491,1.92037975630662,1.94093681231123,1.97154466478479,1.99715194661891,2.02304227358054,2.05359852144896,2.08732573876487,2.12241845831082,2.1610395349455
"5333",1.81540821034722,1.85212170463874,1.89693743525993,1.92937333170806,1.96773075439651,1.99464481532765,2.00097507839506,2.01229436217582,2.03106022248872,2.04816833715351,2.06751754340204,2.14697040724217,2.22800861866702,2.29637222014372,2.36153472526264,2.41549361508355,2.47033448871632,2.53490578271683,2.59051255646203,2.61688977401709,2.59938240580433,2.57317480787529,2.54200313514381,2.51543030153374,2.50931830338748,2.50466066443581,2.49578187480966,2.48546966133639,2.48641742889601,2.48917000412861,2.49091620381679,2.49966160547255,2.50044655473059,2.5209678531034,2.53220997256433,2.53827785836279,2.55124332819002,2.56553296116931,2.57913322130614,2.59764436819349
"5371",1.03812751745478,1.02919678721226,1.02232962570077,1.01636484038914,1.01208764422526,1.00647672496405,1.00417068450455,1.00210592187592,1.0025478293042,1.00759383764632,1.01256899874608,1.02135906995315,1.03336700321106,1.04110625624859,1.05400944948171,1.06516844538402,1.07980443489802,1.10004733139844,1.11930377915544,1.13089749821035,1.14718573921033,1.161569370164,1.17141854678788,1.1791209032643,1.19098584352201,1.20654283381656,1.22394532521543,1.23609405293488,1.2536480529225,1.27269490141635,1.28959432297653,1.30874788185849,1.32346668391997,1.34703117441122,1.36554650784785,1.38418240270882,1.40657638444068,1.42795280827553,1.44862643336191,1.47332873680581
"7271",1.02290824273919,1.01623712772074,1.01052627899268,1.00575615903879,1.00243143118327,0.999339988967101,0.999740773932203,1.00131863607712,1.00548189063857,1.01909487837696,1.03254647493978,1.06120905528742,1.09398061183916,1.12577736790785,1.16130266098079,1.19364065680266,1.22744925613705,1.26593457105929,1.30144146099803,1.32491172856489,1.34953514355259,1.35222897336583,1.35205326407207,1.34843770342012,1.35372515251908,1.36248277264007,1.37091010194261,1.37560891461684,1.38503687764643,1.39715473384213,1.40573881535445,1.41959345205186,1.42970719603585,1.44757985222731,1.46142110757105,1.4756443262641,1.49513346410597,1.51408256595721,1.53262368152027,1.55507393565396
"7351",1.46652716282948,1.46334230938001,1.45525839020206,1.44908978847038,1.43980188277315,1.42954731183773,1.41899569130102,1.40436429042031,1.38416669355896,1.37642363755797,1.36346916997104,1.34673063173437,1.32734600738057,1.30936459794781,1.29477454760393,1.28181673314947,1.26929788676254,1.25080574651786,1.23571111933213,1.22716787625467,1.21954967799116,1.20641158316905,1.20899905309272,1.21241034911362,1.21259499272537,1.22273455145538,1.24377286883931,1.26347792779928,1.30971763064142,1.39572596081378,1.49497789683452,1.58037104516414,1.61333092845712,1.61143722472913,1.59955430023565,1.59221734464548,1.59465179999066,1.59745503150252,1.60229953882172,1.6140639820884
"9251",1.78574771767127,1.77681565260431,1.76188887310211,1.74635540133668,1.72611753119454,1.70130827925518,1.67968157579561,1.65655046623355,1.63410506453898,1.62720545330328,1.61762615568321,1.60892280081568,1.60549434927223,1.60272020145025,1.61159858333065,1.62149165231089,1.63940293408703,1.66081944025215,1.6873003957008,1.70908945556511,1.74693521238514,1.77091249750954,1.79427083290757,1.81048674003132,1.82972504437869,1.85694750433966,1.89334680555315,1.91747851908866,1.94684306049941,1.98116569087354,2.00855682969845,2.04576212026212,2.07859817270668,2.1243015382855,2.16436113640115,2.20327713968456,2.24489464307127,2.28142866830009,2.31613355029853,2.35842431356374
"9271",1.56218567596573,1.55630777863847,1.55486619412137,1.5523694891673,1.55334857400153,1.55231238033484,1.5570784666144,1.56321603635362,1.57276215010896,1.59620269257662,1.61669013963384,1.65240234908606,1.69154661868729,1.7270800018974,1.76940410327946,1.80743978687048,1.8507682808562,1.90184843648834,1.9512052816897,1.98496177437316,2.02107278367356,2.03694104386488,2.04770549903397,2.05027620972957,2.06616907258862,2.08745664316503,2.10865192161641,2.12381709440246,2.14856099513287,2.17726425131423,2.19727545924798,2.22401381226414,2.2393186329703,2.26619274075768,2.28404282147393,2.30253559555592,2.32874205635726,2.35346743795807,2.37671776386303,2.40664209053452
"9291",2.21315685954082,2.19243113030195,2.17263025512954,2.15709854345165,2.14264136000185,2.1266958795752,2.11773111532037,2.10624933476806,2.09343319737871,2.10023839135189,2.10034225631318,2.09983443608659,2.09663890064413,2.0901015893632,2.09424330148715,2.09758840154439,2.10601010019355,2.1088575748666,2.11717490295298,2.12717860712594,2.14356355434399,2.16737300677972,2.20199420856866,2.22805266784764,2.24532133277121,2.27783410683047,2.33208716697336,2.3647114462418,2.40868404532813,2.48876542451195,2.60828755702774,2.78949802457566,2.98499064239333,3.17502961899309,3.27932901582105,3.29284311081841,3.26991176651194,3.25472113007562,3.24462524946826,3.24546052100782
"9311",1.36542235659083,1.36515097087309,1.36095289884048,1.36095832264445,1.35810919017471,1.35535991112472,1.35025399757063,1.34077102357384,1.32726485971573,1.3193899565212,1.30706159907403,1.28949663757574,1.26649163153492,1.24039405554005,1.21526035727499,1.18890815022787,1.16043136541936,1.12550658253041,1.09144783561808,1.06314638871012,1.0355915851306,0.978764665990385,0.992162974076175,1.02182035720227,1.03945925383162,1.0481866684148,1.06362704330364,1.07396355191712,1.08709224672672,1.10317348440272,1.12155720726999,1.1451524361627,1.16196843613997,1.17865680386839,1.1939109460345,1.21103942117521,1.23129881411329,1.25000051573001,1.27013994842104,1.29451972919225
