==========================================================
  Yasso20  Chain 2 / 4
  Run ID:  20260519_162411
  Started: 2026-05-19 16:32:20.686388
  Plots:   447 | Iter: 2000 | Cores: 11
==========================================================

Initial ll at best_x: -12128.877

[16:32:26]  eval    20  |  ll: -10729.231  |  3.91 eval/s  |  0.1 min  |  -Inf: 0
[16:32:31]  eval    40  |  ll:  -8063.323  |  3.94 eval/s  |  0.2 min  |  -Inf: 0
[16:32:36]  eval    60  |  ll:  -7425.391  |  3.92 eval/s  |  0.3 min  |  -Inf: 0
[16:32:41]  eval    80  |  ll:  -7429.130  |  3.91 eval/s  |  0.3 min  |  -Inf: 0
[16:32:46]  eval   100  |  ll:  -7835.829  |  3.93 eval/s  |  0.4 min  |  -Inf: 0
[16:32:51]  eval   120  |  ll:  -6616.789  |  3.93 eval/s  |  0.5 min  |  -Inf: 0
[16:32:56]  eval   140  |  ll:  -6317.073  |  3.96 eval/s  |  0.6 min  |  -Inf: 0
[16:33:00]  eval   160  |  ll:  -7016.179  |  4.02 eval/s  |  0.7 min  |  -Inf: 0
[16:33:05]  eval   180  |  ll:  -6246.877  |  4.08 eval/s  |  0.7 min  |  -Inf: 0
[16:33:09]  eval   200  |  ll:  -6192.886  |  4.12 eval/s  |  0.8 min  |  -Inf: 0
[16:33:13]  eval   220  |  ll:  -6382.749  |  4.16 eval/s  |  0.9 min  |  -Inf: 0
[16:33:18]  eval   240  |  ll:  -6144.149  |  4.16 eval/s  |  1.0 min  |  -Inf: 0
[16:33:23]  eval   260  |  ll:  -7521.664  |  4.17 eval/s  |  1.0 min  |  -Inf: 0
[16:33:28]  eval   280  |  ll:  -6474.422  |  4.17 eval/s  |  1.1 min  |  -Inf: 0
[16:33:32]  eval   300  |  ll:  -7352.435  |  4.17 eval/s  |  1.2 min  |  -Inf: 0
[16:33:37]  eval   320  |  ll:  -6566.140  |  4.18 eval/s  |  1.3 min  |  -Inf: 0
[16:33:42]  eval   340  |  ll:  -6202.993  |  4.18 eval/s  |  1.4 min  |  -Inf: 0
[16:33:47]  eval   360  |  ll:  -6122.542  |  4.18 eval/s  |  1.4 min  |  -Inf: 0
[16:33:51]  eval   380  |  ll:  -6539.024  |  4.19 eval/s  |  1.5 min  |  -Inf: 0
[16:33:56]  eval   400  |  ll:  -6111.077  |  4.20 eval/s  |  1.6 min  |  -Inf: 0
[16:34:00]  eval   420  |  ll:  -6101.550  |  4.22 eval/s  |  1.7 min  |  -Inf: 0
[16:34:04]  eval   440  |  ll:  -6108.430  |  4.23 eval/s  |  1.7 min  |  -Inf: 0
[16:34:09]  eval   460  |  ll:  -6081.127  |  4.25 eval/s  |  1.8 min  |  -Inf: 0
[16:34:14]  eval   480  |  ll:  -6128.023  |  4.22 eval/s  |  1.9 min  |  -Inf: 0
[16:34:19]  eval   500  |  ll:  -6092.382  |  4.20 eval/s  |  2.0 min  |  -Inf: 0
[16:34:25]  eval   520  |  ll:  -6457.216  |  4.19 eval/s  |  2.1 min  |  -Inf: 0
[16:34:30]  eval   540  |  ll:  -6399.784  |  4.18 eval/s  |  2.2 min  |  -Inf: 0
[16:34:35]  eval   560  |  ll:  -6569.385  |  4.16 eval/s  |  2.2 min  |  -Inf: 0
[16:34:40]  eval   580  |  ll:  -6391.874  |  4.15 eval/s  |  2.3 min  |  -Inf: 0
[16:34:46]  eval   600  |  ll:  -6335.694  |  4.13 eval/s  |  2.4 min  |  -Inf: 0
