==========================================================
  Yasso07  Chain 3 / 5
  Run ID:  20260601_135824
  Started: 2026-06-01 19:46:10.94577
  Plots:   358 | Iter: 50000 | Cores: 11
==========================================================

Initial ll at best_x: -5200.527

[20:27:59]  eval 11400  |  ll:  -4901.832  |  4.54 eval/s  |  41.8 min  |  -Inf: 4
[20:28:40]  eval 11600  |  ll:  -4929.109  |  4.55 eval/s  |  42.5 min  |  -Inf: 4
[20:29:22]  eval 11800  |  ll:  -4886.218  |  4.55 eval/s  |  43.2 min  |  -Inf: 4
[20:30:04]  eval 12000  |  ll:  -4889.332  |  4.56 eval/s  |  43.9 min  |  -Inf: 4
[20:30:49]  eval 12200  |  ll:  -4950.755  |  4.56 eval/s  |  44.6 min  |  -Inf: 4
[20:31:30]  eval 12400  |  ll:  -4873.293  |  4.56 eval/s  |  45.3 min  |  -Inf: 4
[20:32:11]  eval 12600  |  ll:  -4889.047  |  4.56 eval/s  |  46.0 min  |  -Inf: 4
[20:32:53]  eval 12800  |  ll:  -4873.126  |  4.57 eval/s  |  46.7 min  |  -Inf: 4
[20:33:40]  eval 13000  |  ll:  -4877.177  |  4.56 eval/s  |  47.5 min  |  -Inf: 4
[20:34:20]  eval 13200  |  ll:  -4885.597  |  4.57 eval/s  |  48.2 min  |  -Inf: 4
[20:35:02]  eval 13400  |  ll:  -4918.927  |  4.57 eval/s  |  48.9 min  |  -Inf: 4
[20:35:44]  eval 13600  |  ll:  -4977.016  |  4.57 eval/s  |  49.5 min  |  -Inf: 4
[20:36:25]  eval 13800  |  ll:  -4893.361  |  4.58 eval/s  |  50.2 min  |  -Inf: 4
[20:37:11]  eval 14000  |  ll:  -4890.049  |  4.57 eval/s  |  51.0 min  |  -Inf: 4
[20:37:52]  eval 14200  |  ll:  -4883.969  |  4.58 eval/s  |  51.7 min  |  -Inf: 4
[20:38:33]  eval 14400  |  ll:  -4892.855  |  4.58 eval/s  |  52.4 min  |  -Inf: 4
[20:39:15]  eval 14600  |  ll:  -4894.187  |  4.58 eval/s  |  53.1 min  |  -Inf: 4
[20:39:57]  eval 14800  |  ll:  -4950.244  |  4.59 eval/s  |  53.8 min  |  -Inf: 4
[20:40:43]  eval 15000  |  ll:  -4880.070  |  4.58 eval/s  |  54.5 min  |  -Inf: 4
