"variable","importance"
"stand_age_2006_est",0.0432042828493199
"stand_age_85",0.0364877166912382
"mean_height_85_dm",0.031964777741126
"basal_area_85",0.031619840101483
"woody_share",0.0284824753484728
"ofh_weight_kgm2",0.0230813632931799
"CoarseFragments",0.0164727685698259
"EstimatedBulkDensity",0.0162932070449806
"lon_WGS84",0.015751494650004
"SandContent",0.0150461774589758
"GDD5",0.0137827502060131
"mean_precip_annual",0.012697129304657
"litter_A_frac",0.0124933194117911
"ExchangeableFe",0.0120289355755588
"warmest_month_T",0.011872967064539
"SiltContent",0.0107809338799654
"T_seasonality",0.0107500140223011
"P_seasonality",0.0104416121982708
"clay",0.010318292900699
"litter_W_frac",0.0100771239472195
"TotalNitrogen",0.00977825894174887
"ExchangeableAl",0.00977571265392147
"ExchangeableCa",0.00927392790872441
"elevation_m",0.00926867952231475
"lat_WGS84",0.00888692483903465
"pH.H2O.",0.00857080479160098
"CEC",0.00849396343208516
"temp_sum_NFI",0.00815145239018599
"aridity_index",0.00788825781552729
"pH.CaCl2.",0.00675919087385267
"soil_prep_pre85",0.0066913538017861
"coldest_month_T",0.00652132709018143
"base_saturation",0.00639944055334941
"CN_ratio",0.00632893896937676
"litter_N_frac",0.00627878961961922
"mean_temp",0.00625053421419723
"litter_E_frac",0.00592849451955893
"any_trt_85_95",0.00544787351770975
"conifer_share",0.00519190135142062
"dev_class_85",0.00380662894192678
"kasvup_tyyppi",0.00363460252448004
"soil_code",0.00209289764295193
"temp_zone",0.0016633259298589
"kasvyo_ahti",0.00139839927035357
"kasvyo_syke",0.00125189954725949
"TexturalClass",0.00103168368735339
"species_code",0.00097030654388377
"n_cuts_85_95",0.000786014014106926
"ojitustilanne",0.000484874016947646
"KA",0.000316289762591317
"koppen_class",0.000196154509604361
"any_cut_85_95",1.0915390446232e-05
"alaryhma",0
"shallow",-4.85859294351265e-05
"profile_depth_cm",-5.71686437141992e-05
