"plot_id","year","soc_obs_tCha","soc_mean","soc_median","soc_q025","soc_q975","log_obs","log_hat_mean","residual_log","residual_abs","is_first","region","species_code","species_name","soil_code","soil_type","shallow","n_soc_obs","mean_litter","mean_soc_Mgha","litter_cv","sp_frac_1","sp_frac_3","sp_frac_2","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84","conifer_share","mean_temp","mean_precip_annual","PET_annual","coldest_month_T","warmest_month_T","T_seasonality","GDD5","P_seasonality","aridity_index","koppen_class","temp_zone","soil_depth","ClayContent","SiltContent","SandContent","MeanBulkDensity","EstimatedBulkDensity","CoarseFragments","pH.CaCl2.","pH.H2O.","OrganicCarbon","TotalNitrogen","ExchangeableAcidity","ExchangeableAl","ExchangeableCa","ExchangeableFe","ExchangeableK","ExchangeableMg","ExchangeableMn","ExchangeableNa","FreeHAcidity","OrganicMatter","TexturalClass","ofh_upper_cm","ofh_lower_cm","ofh_weight_kgm2","profile_depth_cm","KA","kasvyo_syke","kasvyo_ahti","kasvyo_sk","alavyo_syke","suovyohyke","alavyohyke","eliomk","clay","CN_ratio","CEC","base_saturation","litter_A_frac","litter_W_frac","litter_E_frac","litter_N_frac","woody_share","stand_age_85","basal_area_85","mean_height_85_dm","dev_class_85","kasvup_tyyppi","alaryhma","ojitustilanne","temp_sum_NFI","elevation_m","stand_age_2006_est","any_cut_85_95","n_cuts_85_95","any_trt_85_95","soil_prep_pre85","peatland","organic_missing","organic_zero","high_mrt","has_climate","has_soc","calib_ready","maakunta_name_fi","nfi_region"
"67631",1985,70.7281905640203,143.878983623981,142.513927340508,135.390635669231,162.131065094471,4.25884422842207,4.96897255474897,-0.710128326326896,-73.1507930599612,TRUE,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,3.74347247123449,78.2017342498979,0.157088435076937,0.0712387891434147,0.320530795274673,0.608230415581908,564761.570227526,7158685.19260357,28.350591055978,64.5472311862613,0.679469204725323,1.57403736129277,603.243538461538,586.358484723178,-11.3340158808933,15.6294669975186,9.7374594387022,982.091107692308,0.344771837510963,1.02879646867621,"Dfc","cold",30,3.3,34.5,62.3,NA,1069.8785,30.7,4.10675,4.714761,14.6,0.8,1.43,1.4125,0.2535,0.112,0.0255,0.059,0.0045,0.0155,0.1,3.3,"SL",-4,0,5.99,80,1,3,4,3,"3b","3","3c",14,3.3,18.25,1.866,0.189442658092176,0.512825940972276,0.127539820898405,0.0674896745839994,0.29214456354532,0.190780620286835,NA,27,NA,6,3,1,"1",93,22,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"67631",2006,92.2244754198213,185.562863148451,185.939850449562,178.895354631543,191.731673502922,4.52422555541908,5.22339370953628,-0.699168154117198,-93.3383877286295,FALSE,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,3.74347247123449,78.2017342498979,0.157088435076937,0.0712387891434147,0.320530795274673,0.608230415581908,564761.570227526,7158685.19260357,28.350591055978,64.5472311862613,0.679469204725323,1.57403736129277,603.243538461538,586.358484723178,-11.3340158808933,15.6294669975186,9.7374594387022,982.091107692308,0.344771837510963,1.02879646867621,"Dfc","cold",30,3.3,34.5,62.3,NA,1069.8785,30.7,4.10675,4.714761,14.6,0.8,1.43,1.4125,0.2535,0.112,0.0255,0.059,0.0045,0.0155,0.1,3.3,"SL",-4,0,5.99,80,1,3,4,3,"3b","3","3c",14,3.3,18.25,1.866,0.189442658092176,0.512825940972276,0.127539820898405,0.0674896745839994,0.29214456354532,0.190780620286835,NA,27,NA,6,3,1,"1",93,22,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"67631",2024,115.620992331884,184.046304461956,183.675336122513,174.529048472643,192.297138223052,4.75031753431845,5.2151873806338,-0.46486984631535,-68.425312130072,FALSE,1,2,"Norway spruce","Ka","Prekvartäärisen kallioperän paljastumia",FALSE,3,3.74347247123449,78.2017342498979,0.157088435076937,0.0712387891434147,0.320530795274673,0.608230415581908,564761.570227526,7158685.19260357,28.350591055978,64.5472311862613,0.679469204725323,1.57403736129277,603.243538461538,586.358484723178,-11.3340158808933,15.6294669975186,9.7374594387022,982.091107692308,0.344771837510963,1.02879646867621,"Dfc","cold",30,3.3,34.5,62.3,NA,1069.8785,30.7,4.10675,4.714761,14.6,0.8,1.43,1.4125,0.2535,0.112,0.0255,0.059,0.0045,0.0155,0.1,3.3,"SL",-4,0,5.99,80,1,3,4,3,"3b","3","3c",14,3.3,18.25,1.866,0.189442658092176,0.512825940972276,0.127539820898405,0.0674896745839994,0.29214456354532,0.190780620286835,NA,27,NA,6,3,1,"1",93,22,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"69553",2024,81.6978917115311,201.604390845299,205.276105165482,163.343110120297,223.860974109173,4.40302819628858,5.30630731594663,-0.903279119658055,-119.906499133768,TRUE,1,1,"Scots pine","Tu","Turvekerrostuma",FALSE,1,3.8585816421612,66.7903811289237,0.669557541190255,0.562976365588613,0.30322604797182,0.133797586439566,500796.383899094,7175483.30820738,27.0167035325866,64.7041487103857,0.696773952028179,1.86485686782967,562.811384615385,600.532517706837,-10.7686992555831,15.7093191066998,9.57502150694762,1002.85558461538,0.373841338676115,0.937187193067425,"Dfc","cold",100,1,7.7,91.3,NA,1232.031,50.25,3.7865,4.403478,2.5,0.35,1.125,1.009,0.112,0.037,0.022,0.043,0.0015,0.0305,0.1,0.75,"S",-4,0,3.38,80,3,3,3,3,"3a","3","3b",14,1,7.14285714285714,1.3165,0.157614887960501,0.535707054938228,0.119739454756132,0.06728377393302,0.27726971637262,0.278088756093153,NA,12,NA,4,3,1,"0",99,15,NA,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Pohjois-Pohjanmaa","North"
"69651",1985,71.4136861409622,131.383150365353,129.606639355421,122.628722023964,149.402776364982,4.2684895336233,4.87811786620981,-0.609628332586515,-59.9694642243904,TRUE,1,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,3,2.40221778474436,83.881903425741,0.459544103162718,0.758769579140907,0.211289659312743,0.0299407615463536,580759.633181079,7174676.95327408,28.6929706966678,64.6872348347343,0.78871034068726,1.39283330546354,576.493907692308,568.492801948926,-11.5408426799007,15.4976739454094,9.74400164283249,955.103784615385,0.337036065488739,1.01407424283289,"Dfc","cold",30,2.4,40.1,57.4,NA,949.356,50.2,4.1525,4.75923,16.05,0.85,1.325,1.2955,0.457,0.1045,0.0385,0.1,0.0025,0.025,0.1,3.55,"SL",-8,0,6.97,80,1,3,3,3,"3b","3","3c",14,2.4,18.8823529411765,2.016,0.307787698412698,0.549256595595105,0.121331114684053,0.0658111740145566,0.263601115706285,0.257998095227043,NA,23,NA,4,3,1,"0",92,22,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"69651",2006,108.136156892493,165.013525464535,165.087575912476,159.617032730579,170.056195870042,4.68339114506171,5.10602744305335,-0.422636297991643,-56.8773685720417,FALSE,1,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,3,2.40221778474436,83.881903425741,0.459544103162718,0.758769579140907,0.211289659312743,0.0299407615463536,580759.633181079,7174676.95327408,28.6929706966678,64.6872348347343,0.78871034068726,1.39283330546354,576.493907692308,568.492801948926,-11.5408426799007,15.4976739454094,9.74400164283249,955.103784615385,0.337036065488739,1.01407424283289,"Dfc","cold",30,2.4,40.1,57.4,NA,949.356,50.2,4.1525,4.75923,16.05,0.85,1.325,1.2955,0.457,0.1045,0.0385,0.1,0.0025,0.025,0.1,3.55,"SL",-8,0,6.97,80,1,3,3,3,"3b","3","3c",14,2.4,18.8823529411765,2.016,0.307787698412698,0.549256595595105,0.121331114684053,0.0658111740145566,0.263601115706285,0.257998095227043,NA,23,NA,4,3,1,"0",92,22,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"69651",2024,118.212610990594,131.876261978149,130.419577538967,123.041853427887,144.082757133245,4.77248479124861,4.8818640736871,-0.109379282438484,-13.6636509875554,FALSE,1,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,3,2.40221778474436,83.881903425741,0.459544103162718,0.758769579140907,0.211289659312743,0.0299407615463536,580759.633181079,7174676.95327408,28.6929706966678,64.6872348347343,0.78871034068726,1.39283330546354,576.493907692308,568.492801948926,-11.5408426799007,15.4976739454094,9.74400164283249,955.103784615385,0.337036065488739,1.01407424283289,"Dfc","cold",30,2.4,40.1,57.4,NA,949.356,50.2,4.1525,4.75923,16.05,0.85,1.325,1.2955,0.457,0.1045,0.0385,0.1,0.0025,0.025,0.1,3.55,"SL",-8,0,6.97,80,1,3,3,3,"3b","3","3c",14,2.4,18.8823529411765,2.016,0.307787698412698,0.549256595595105,0.121331114684053,0.0658111740145566,0.263601115706285,0.257998095227043,NA,23,NA,4,3,1,"0",92,22,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"69711",1985,134.926686561981,38.2413036282361,37.9283211752772,35.7464375942945,43.4238774456084,4.90473156842274,3.64391617829868,1.26081539012406,96.685382933745,TRUE,1,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,3,1.44424441546524,106.616568634666,0.387891562453757,0.639374209696718,0.36062579030328,0,628744.150695369,7174674.3264679,29.6977724858642,64.6723012994745,0.639374209696718,1.25606420969032,559.868892307692,561.23742207703,-11.751758808933,15.426017866005,9.77004042742799,937.3394,0.351963975721889,0.997561584962968,"Dfc","cold",30,3,39.2,57.8,NA,1022.956,9.05,4.244,4.848168,22.2,0.9,1.526,1.4295,0.1965,0.0565,0.0285,0.04,0.001,0.0245,0.1,4.8,"SL",-5,0,4.15,80,1,3,4,4,"3b","3","3c",14,3,24.6666666666667,1.819,0.15915338097856,0.530251917999882,0.13691106156393,0.0711476146292778,0.26168940580691,0.177651127239194,NA,4,NA,4,4,3,"2",91,22,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"69711",2006,100.616654437739,54.0268688738346,54.0822337269783,51.0800965040922,56.6545913338661,4.61131779503454,3.98948149455418,0.621836300480354,46.5897855639044,FALSE,1,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,3,1.44424441546524,106.616568634666,0.387891562453757,0.639374209696718,0.36062579030328,0,628744.150695369,7174674.3264679,29.6977724858642,64.6723012994745,0.639374209696718,1.25606420969032,559.868892307692,561.23742207703,-11.751758808933,15.426017866005,9.77004042742799,937.3394,0.351963975721889,0.997561584962968,"Dfc","cold",30,3,39.2,57.8,NA,1022.956,9.05,4.244,4.848168,22.2,0.9,1.526,1.4295,0.1965,0.0565,0.0285,0.04,0.001,0.0245,0.1,4.8,"SL",-5,0,4.15,80,1,3,4,4,"3b","3","3c",14,3,24.6666666666667,1.819,0.15915338097856,0.530251917999882,0.13691106156393,0.0711476146292778,0.26168940580691,0.177651127239194,NA,4,NA,4,4,3,"2",91,22,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
"69711",2024,146.006476353097,69.9099256145954,70.5443032383919,61.766804215312,73.7887215346098,4.98365097930738,4.24720763650667,0.736443342800711,76.0965507385016,FALSE,1,1,"Scots pine","Mr","Sora- ja hiekkamoreeni",FALSE,3,1.44424441546524,106.616568634666,0.387891562453757,0.639374209696718,0.36062579030328,0,628744.150695369,7174674.3264679,29.6977724858642,64.6723012994745,0.639374209696718,1.25606420969032,559.868892307692,561.23742207703,-11.751758808933,15.426017866005,9.77004042742799,937.3394,0.351963975721889,0.997561584962968,"Dfc","cold",30,3,39.2,57.8,NA,1022.956,9.05,4.244,4.848168,22.2,0.9,1.526,1.4295,0.1965,0.0565,0.0285,0.04,0.001,0.0245,0.1,4.8,"SL",-5,0,4.15,80,1,3,4,4,"3b","3","3c",14,3,24.6666666666667,1.819,0.15915338097856,0.530251917999882,0.13691106156393,0.0711476146292778,0.26168940580691,0.177651127239194,NA,4,NA,4,4,3,"2",91,22,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Kainuu","North"
