"variable","importance"
"basal_area_85",0.0847990611328183
"woody_share",0.0410280755500111
"TotalNitrogen",0.0390373452186636
"dev_class_85",0.0323084124704223
"litter_W_frac",0.0320705292081715
"clay",0.0318696189970753
"litter_N_frac",0.0311344761098213
"ExchangeableAl",0.0261097180661514
"SandContent",0.0260362169167286
"SiltContent",0.0257965321803686
"CEC",0.0242708123234355
"warmest_month_T",0.0233108976080644
"GDD5",0.0201746910074385
"lat_WGS84",0.0199177215460295
"coldest_month_T",0.0191264938903427
"mean_temp",0.0185429001823736
"litter_E_frac",0.0176780766188072
"CoarseFragments",0.0163102388371859
"base_saturation",0.0158501780694983
"temp_sum_NFI",0.0154715305016292
"ofh_weight_kgm2",0.0149356711193855
"aridity_index",0.0147557790836694
"litter_A_frac",0.0135635658063732
"ExchangeableCa",0.0134456123459251
"elevation_m",0.0132050499741666
"T_seasonality",0.0130834008044965
"mean_precip_annual",0.013043005037896
"P_seasonality",0.0127425502184045
"conifer_share",0.0126676474763753
"ExchangeableFe",0.0125189536578374
"lon_WGS84",0.0124132449938592
"EstimatedBulkDensity",0.0115012303375126
"CN_ratio",0.0105275070877928
"pH.H2O.",0.00843404616782811
"pH.CaCl2.",0.00724234563750144
"soil_code",0.00572642663924113
"n_cuts_85_95",0.00520286593247865
"TexturalClass",0.00514878693126875
"kasvyo_syke",0.00474778341928818
"kasvyo_ahti",0.00470429281151787
"any_cut_85_95",0.00418306965281737
"kasvup_tyyppi",0.00337489409684947
"soil_prep_pre85",0.00293605631145997
"species_code",0.00290581202498398
"temp_zone",0.00219863645031726
"KA",0.00215780828403376
"ojitustilanne",0.00167687787866027
"any_trt_85_95",0.00113652639364486
"n_soc_obs",0.000779349922224084
"koppen_class",0.000423916357917028
"profile_depth_cm",0.000371904339630859
"alaryhma",0.000141280477673859
"shallow",9.07506653980874e-05
"ofh_lower_cm",0
