year,area_Mha,basis,provenance
1922,13.90,upland forest soil,"Liski et al. 2006: litter+soil stock 848 Tg / stated density 6.1 kg C m-2"
2004,15.22,upland forest soil,"Liski et al. 2006: litter+soil stock 959 Tg / stated density 6.3 kg C m-2"
