"plot_id","x_KKJ","y_KKJ","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84"
3292,3292953.593,6650088.273,292867.518873921,6647295.79120773,23.2951231480003,59.9109892477289
3293,3292942.263,6650504.686,292856.191277204,6647712.03686285,23.2945048379166,59.9147133731433
3294,3292926.855,6650903.976,292840.787407642,6648111.16637597,23.293830746715,59.9182820746902
3312,3308928.594,6650088.313,308836.1018504,6647295.91349267,23.5801274660281,59.9186995311798
3313,3308963.186,6650505.89,308870.677803404,6647713.32289227,23.580359417298,59.9224569539018
3314,3308947.489,6650866.374,308854.985255939,6648073.66197272,23.5797464876809,59.9256795318163
5293,3292961.152,6666488.291,292874.990708068,6663689.22094609,23.2787837756753,60.0578851477851
5311,3308940.635,6665704.566,308848.058094393,6662905.89219941,23.565860047031,60.0586206707017
5312,3308938.595,6666084.557,308846.016980382,6663285.73051745,23.565469304634,60.0620242281718
5314,3308941.87,6666884.982,308849.286593262,6664085.83394229,23.5647816700149,60.0691971076183
5333,3324943.968,6666473.241,324844.957071297,6663674.33964223,23.8520662392764,60.0726553080433
5334,3324956.716,6666883.078,324857.697869996,6664084.01202038,23.8519444786803,60.07633371372
5354,3340943.724,6666878.58,340838.281420263,6664079.5967859,24.1387482030677,60.0828131148482
5371,3356957.42,6665694.97,356845.547274317,6662896.543417,24.4269805793465,60.0781078005587
5374,3356950.807,6666896.32,356838.930869363,6664097.41050147,24.4260217742118,60.088877372311
7171,3196943.796,6681693.965,196896.110626424,6678888.29855767,21.5395834022517,60.1341290601067
7174,3196952.148,6682883.419,196904.453181279,6680077.27521319,21.5379660883924,60.1447626697043
7193,3212944.125,6682498.517,212890.013411617,6679692.60947234,21.8251713791374,60.1528628535422
7211,3228955.899,6681682.227,228895.36392907,6678876.72885344,22.1134741605009,60.1564959548617
7252,3260944.843,6682083.536,260871.461630385,6679278.03930355,22.6873222299645,60.1800613179186
7253,3260947.307,6682483.689,260873.922612537,6679678.03161957,22.6868959871193,60.1836441216399
7254,3260969.975,6682882.353,260896.579489301,6680076.53563603,22.6868344917619,60.187225429704
7271,3276942.106,6681680.003,276862.302008518,6678874.74935813,22.9752985042139,60.1855054664894
7272,3276967.743,6682074.857,276887.926714864,6679269.44489595,22.9753260093045,60.1890547084212
7313,3308944.023,6682482.368,308851.359857237,6679676.9534004,23.5502014055559,60.2089391494879
7332,3324960.133,6682072.949,324861.036878102,6679267.7793279,23.8389556171951,60.2124645064111
7333,3324944.847,6682488.7,324845.75493488,6679683.36319372,23.8383213371662,60.2161837727121
7351,3340965.29,6681678.907,340859.764285599,6678873.97585784,24.1275767343084,60.215494755848
7352,3340939.959,6682083.286,340834.441441858,6679278.19221961,24.126802995052,60.2191097468943
7353,3340950.815,6682477.976,340845.291104622,6679672.72365637,24.1266887644743,60.2226520123075
7354,3340945.727,6682890.425,340840.203086587,6680085.00687656,24.1262732132396,60.2263472406136
7373,3356952.239,6682480.823,356840.28411013,6679675.64943324,24.415090798069,60.2286137751826
7393,3372949.466,6682481.247,372831.080896938,6679676.15295392,24.7035340979795,60.2339258288878
9232,3244948.349,6698064.392,244881.310282664,6695252.3974523,22.3798615348816,60.3133515335095
9251,3260945.817,6697670.504,260872.356665548,6694858.74787476,22.6689232339067,60.3195618271107
9271,3276937.452,6697680.219,276857.569420472,6694868.53900559,22.9575634996799,60.3287538313153
9272,3276927.287,6698085.905,276847.406475206,6695274.06201777,22.9569300523987,60.3323802922177
9273,3276949.488,6698478.589,276869.596596474,6695666.58841382,22.9568953998239,60.3359081424659
9274,3276952.521,6698882.153,276872.626362339,6696069.99034444,22.9565024430731,60.3395228562736
9291,3292952.55,6697679.501,292866.234864849,6694867.9012354,23.2468204493551,60.3372382861957
9311,3308958.793,6697658.516,308866.048030773,6694847.00435583,23.5361047462873,60.3449082508594
9314,3308956.742,6698867.291,308863.991845921,6696055.29372034,23.534917709353,60.3557364156794
9331,3324936.829,6697685.639,324837.66435967,6694874.19580171,23.8249888892541,60.3523682873562
9332,3324938.592,6698083.604,324839.424677612,6695272.00090484,23.8246737036723,60.3559353669045
9333,3324951.899,6698479.657,324852.724367218,6695667.89483358,23.8245689383387,60.359490298332
9351,3340954.486,6697674.242,340848.885033702,6694862.88271471,24.1147667379438,60.3588715632764
9352,3340969.092,6698059.483,340863.48325853,6695247.96897166,24.1147256336544,60.3623305139517
9353,3340950.227,6698483.538,340844.623742605,6695671.85346522,24.114047949227,60.3661242360008
9354,3340953.055,6698878.154,340847.448655313,6696066.31089669,24.1137861108657,60.3696625907285
9371,3356946.082,6697674.631,356834.054199138,6694863.35055733,24.4041923394646,60.3648403802165
9374,3356951.092,6698867.264,356839.056303202,6696055.50423516,24.4034318734759,60.3755352158085
9391,3372962.136,6697695.828,372843.670513323,6694884.61795099,24.6941641561604,60.3703741311124
9392,3372957.478,6698080.609,372839.012492313,6695269.2442535,24.6938358374318,60.3738233357213
9433,3404933.131,6698467.338,404801.808403567,6695655.97464435,25.2729625167568,60.3860727292376
9451,3420952.52,6697691.47,420814.75954633,6694880.49693383,25.5636502528,60.3825626629995
9452,3420939.912,6698068.049,420802.154777951,6695256.92443067,25.563272871443,60.3859389776177
9453,3420949.301,6698484.791,420811.537968098,6695673.49888344,25.5632783079659,60.3896799486578
9454,3420957.664,6698891.83,420819.895618802,6696080.37423337,25.5632689742244,60.3933336587257
9471,3436933.526,6697667.28,436789.338543064,6694856.39459027,25.8533459797859,60.3851567800992
9473,3436952.869,6698486.571,436808.669774178,6695675.35615986,25.853438132409,60.3925115631343
9491,3452948.778,6697694.063,452798.148620262,6694883.24470924,26.1436982543424,60.387581963258
9494,3452952.383,6698879.237,452801.746415433,6696067.9419753,26.1434841957122,60.3982182668994
9511,3468946.254,6697681.585,468789.1891445,6694870.84933222,26.4337772088336,60.3890202268684
9512,3468946.339,6698073.273,468789.272212834,6695262.37974916,26.433717681342,60.3925355071282
9513,3468940.596,6698470.275,468783.52960064,6695659.22200009,26.4335516048404,60.3960980270586
