==========================================================
  Yasso20  Chain 3 / 4
  Run ID:  20260507_100220
  Started: 2026-05-07 12:01:24.801388
  Plots:   350 | Iter: 10000 | Cores: 39
==========================================================

Initial ll at best_x: -4708.556

[12:02:38]  eval   200  |  ll:  -4062.213  |  2.71 eval/s  |  1.2 min  |  -Inf: 0
[12:03:51]  eval   400  |  ll:  -4023.674  |  2.74 eval/s  |  2.4 min  |  -Inf: 2
[12:05:02]  eval   600  |  ll:  -4045.574  |  2.76 eval/s  |  3.6 min  |  -Inf: 3
[12:06:14]  eval   800  |  ll:  -4011.405  |  2.76 eval/s  |  4.8 min  |  -Inf: 17
[12:07:27]  eval  1000  |  ll:  -3927.360  |  2.76 eval/s  |  6.0 min  |  -Inf: 53
[12:08:39]  eval  1200  |  ll:  -6901.662  |  2.76 eval/s  |  7.2 min  |  -Inf: 88
[12:09:51]  eval  1400  |  ll:  -4103.611  |  2.76 eval/s  |  8.4 min  |  -Inf: 109
[12:11:03]  eval  1600  |  ll:  -3876.831  |  2.77 eval/s  |  9.6 min  |  -Inf: 135
[12:12:15]  eval  1800  |  ll:  -3912.096  |  2.77 eval/s  |  10.8 min  |  -Inf: 161
[12:13:28]  eval  2000  |  ll:  -4014.274  |  2.77 eval/s  |  12.1 min  |  -Inf: 186
[12:14:40]  eval  2200  |  ll:  -3855.666  |  2.77 eval/s  |  13.3 min  |  -Inf: 211
[12:15:53]  eval  2400  |  ll:  -3989.597  |  2.76 eval/s  |  14.5 min  |  -Inf: 226
[12:17:05]  eval  2600  |  ll:  -4972.031  |  2.77 eval/s  |  15.7 min  |  -Inf: 242
[12:18:17]  eval  2800  |  ll:  -4132.395  |  2.77 eval/s  |  16.9 min  |  -Inf: 266
[12:19:29]  eval  3000  |  ll:  -5829.541  |  2.77 eval/s  |  18.1 min  |  -Inf: 286
[12:20:41]  eval  3200  |  ll:  -4825.979  |  2.77 eval/s  |  19.3 min  |  -Inf: 294
[12:21:53]  eval  3400  |  ll:  -3922.118  |  2.77 eval/s  |  20.5 min  |  -Inf: 298
[12:23:05]  eval  3600  |  ll:  -4348.964  |  2.77 eval/s  |  21.7 min  |  -Inf: 302
[12:24:17]  eval  3800  |  ll:  -3980.993  |  2.77 eval/s  |  22.9 min  |  -Inf: 307
[12:25:30]  eval  4000  |  ll:  -3846.169  |  2.77 eval/s  |  24.1 min  |  -Inf: 315
[12:26:42]  eval  4200  |  ll:  -4028.711  |  2.77 eval/s  |  25.3 min  |  -Inf: 316
[12:27:54]  eval  4400  |  ll:  -6856.380  |  2.77 eval/s  |  26.5 min  |  -Inf: 317
[12:29:06]  eval  4600  |  ll:  -4327.787  |  2.77 eval/s  |  27.7 min  |  -Inf: 322
[12:30:19]  eval  4800  |  ll:  -4095.195  |  2.77 eval/s  |  28.9 min  |  -Inf: 329
[12:31:32]  eval  5000  |  ll:  -3813.034  |  2.77 eval/s  |  30.1 min  |  -Inf: 339
[12:32:44]  eval  5200  |  ll:  -3805.660  |  2.77 eval/s  |  31.3 min  |  -Inf: 352
[12:33:56]  eval  5400  |  ll:  -4224.022  |  2.77 eval/s  |  32.5 min  |  -Inf: 367
