"variable","importance"
"stand_age_2006_est",0.0346046739929322
"mean_height_85_dm",0.034593051928667
"woody_share",0.0337007622013476
"stand_age_85",0.0322188333661371
"basal_area_85",0.0277150620554317
"ofh_weight_kgm2",0.0228977578446394
"SandContent",0.0168014119614646
"ExchangeableFe",0.0154241328921148
"mean_precip_annual",0.0141537278235154
"EstimatedBulkDensity",0.0134955623187726
"CoarseFragments",0.0134508042607103
"SiltContent",0.0128472520178996
"clay",0.0123366227155409
"lon_WGS84",0.0121457129530852
"GDD5",0.0120873051619801
"P_seasonality",0.0116514124951259
"TotalNitrogen",0.0114742442662606
"aridity_index",0.0107059144962797
"litter_A_frac",0.0103794818600188
"ExchangeableCa",0.0102947558814019
"warmest_month_T",0.0100537932265654
"T_seasonality",0.00976881318433358
"CEC",0.00900993822948574
"base_saturation",0.00897651247479804
"litter_N_frac",0.00845323559631559
"litter_W_frac",0.00824949648757232
"pH.CaCl2.",0.00755647953023052
"CN_ratio",0.00747929853872365
"lat_WGS84",0.00738002357525413
"elevation_m",0.00730048708427858
"litter_E_frac",0.00708807444906936
"temp_sum_NFI",0.00706932216297895
"pH.H2O.",0.00629369217235014
"coldest_month_T",0.00624419882115391
"conifer_share",0.0061146646787038
"ExchangeableAl",0.00599557113113927
"soil_prep_pre85",0.00505949355445288
"any_trt_85_95",0.00489865891690728
"mean_temp",0.00489690629990089
"dev_class_85",0.00430202638616547
"soil_code",0.00280508605434051
"kasvup_tyyppi",0.00243138415951103
"kasvyo_ahti",0.0022636913535517
"TexturalClass",0.00208662444744954
"temp_zone",0.00166715664007158
"n_cuts_85_95",0.00148646649458549
"KA",0.00123800637453179
"species_code",0.00104162384026246
"kasvyo_syke",0.000922264969195893
"any_cut_85_95",0.00053817553230129
"ojitustilanne",0.000430763965512743
"alaryhma",0
"profile_depth_cm",-9.48270913568741e-05
"shallow",-0.000104611349401196
"koppen_class",-0.000333472900944506
