"variable","importance"
"woody_share",0.038252491476486
"ofh_weight_kgm2",0.0299294877380041
"basal_area_85",0.0285248405743018
"stand_age_85",0.0277871836572328
"stand_age_2006_est",0.0263227888423709
"SandContent",0.0237074321325928
"mean_height_85_dm",0.0221065835308116
"CoarseFragments",0.0216860840353732
"EstimatedBulkDensity",0.018065134408127
"elevation_m",0.0155675495517628
"SiltContent",0.0140995264390635
"ExchangeableFe",0.0133082663798798
"mean_precip_annual",0.0129240856285024
"aridity_index",0.0126268944008278
"T_seasonality",0.0119980086002792
"GDD5",0.0117175826115007
"mean_temp",0.0115593572857727
"clay",0.0112730121598178
"litter_A_frac",0.0101357434353093
"lat_WGS84",0.0101087069191642
"TotalNitrogen",0.0100782948520231
"ExchangeableAl",0.00995292814554864
"base_saturation",0.00964533314362356
"coldest_month_T",0.00951433605056771
"ExchangeableCa",0.0086977386418338
"P_seasonality",0.00869282573914301
"warmest_month_T",0.00849911668987679
"lon_WGS84",0.00831816069338335
"litter_E_frac",0.00805497418308104
"pH.H2O.",0.0078740236116369
"temp_sum_NFI",0.00786880061253839
"litter_N_frac",0.00751753686149244
"pH.CaCl2.",0.00741134888338079
"CN_ratio",0.00734652166706766
"CEC",0.00717258375107272
"litter_W_frac",0.00506257407627782
"kasvup_tyyppi",0.00480627363479373
"conifer_share",0.00399280930369149
"soil_code",0.00323600573358088
"any_trt_85_95",0.00305128616868917
"soil_prep_pre85",0.00299724769519659
"temp_zone",0.00262075948080836
"kasvyo_ahti",0.0025234631360856
"species_code",0.00187773480389777
"dev_class_85",0.00172610742080223
"TexturalClass",0.00155995746543343
"ojitustilanne",0.00142020033375962
"kasvyo_syke",0.00139858814924615
"KA",0.00104417563539593
"n_cuts_85_95",0.000871356158200067
"any_cut_85_95",0.000534560149779888
"profile_depth_cm",0.000298006639073484
"koppen_class",0.000263379942536881
"alaryhma",0
"shallow",-8.44761181507225e-06
