"variable","importance"
"n_soc_obs",32.7664429864627
"ofh_lower_cm",0
"alaryhma",-0.115351285825755
"shallow",-0.343406316806406
"any_trt_85_95",-0.441265276650945
"ojitustilanne",-0.750747822789824
"profile_depth_cm",-0.984059698541273
"soil_prep_pre85",-1.15915658076183
"koppen_class",-2.03827630601534
"any_cut_85_95",-2.09039816168083
"species_code",-2.98067227599428
"n_cuts_85_95",-3.17712842311796
"TexturalClass",-3.55200334627928
"kasvup_tyyppi",-3.60490379561261
"kasvyo_ahti",-4.62144081621084
"kasvyo_syke",-4.99395665939415
"dev_class_85",-5.32435422074206
"temp_zone",-6.13322835281695
"KA",-7.99853793241711
"soil_code",-8.19795094860161
"pH.H2O.",-8.80349090123543
"pH.CaCl2.",-9.60154339902007
"TotalNitrogen",-12.1153035805558
"SandContent",-12.7280315283083
"basal_area_85",-13.3277757235782
"elevation_m",-13.9609759959126
"litter_E_frac",-13.9868765390551
"SiltContent",-14.2385036123282
"CEC",-14.3727826615655
"ExchangeableCa",-14.3762787951251
"clay",-14.4133757953152
"base_saturation",-14.618660717419
"litter_N_frac",-15.03232351048
"litter_W_frac",-15.0820648970266
"conifer_share",-15.182491136426
"lon_WGS84",-15.6461913454654
"ExchangeableAl",-15.6466256539873
"EstimatedBulkDensity",-15.7675164952099
"ExchangeableFe",-15.8564269866077
"litter_A_frac",-16.0548898796425
"CoarseFragments",-16.0773061723025
"woody_share",-16.2213256988436
"temp_sum_NFI",-16.9475232386514
"CN_ratio",-17.0602344728469
"aridity_index",-17.3067016717365
"ofh_weight_kgm2",-17.3947585429102
"T_seasonality",-17.4155070647775
"coldest_month_T",-18.06957999047
"mean_temp",-20.3267218274139
"mean_precip_annual",-21.4091197240995
"warmest_month_T",-23.3071249482058
"lat_WGS84",-23.3895822159227
"P_seasonality",-24.1002849624298
"GDD5",-24.6944443985462
