name,value
aA,-0.7035942673683167
aW,-5.681055545806885
aE,-0.2613542377948761
aN,-0.02810959704220295
p1WA,0.4888527989387512
p2EA,0.019057683646678925
p3NA,0.9696374535560608
p4AW,0.9872559905052185
p5EW,0.0028432635590434074
p6NW,0.0033964612521231174
p7AE,1.39937037602067e-5
p8WE,1.7966924133361317e-5
p9NE,0.01218125969171524
p10AN,0.0027778467629104853
p11WN,0.012695553712546825
p12EN,0.9713827967643738
b1,0.09873183816671371
b2,-0.001571640488691628
NA,0.17000000178813934
NA,-0.001500000013038516
NA,0.17000000178813934
NA,-0.001500000013038516
NA,0.17000000178813934
NA,-0.001500000013038516
NA,0
gamma,-1.2716917991638184
NA,0
NA,101.82534790039062
NA,260
NA,-0.15269890427589417
NA,-3.934222913812846e-4
NA,-0.33000001311302185
NA,0
NA,0
aH,-0.0014966174494475126
pH,0.0042703705839812756
NA,0
NA,0
phi1,-1.7084113359451294
phi2,0.8585553765296936
r,-0.3068014085292816
NA,0
NA,0.5834000110626221
NA,1
