"f","sigma_input","MRT","SOC_med","trend_0624","trend_8524","obs_0624","obs_8524","n"
0.7,2.70808432185244,10.2229053148383,62.3089462830644,-0.489046396634303,-0.0872512365645185,0.116096910518134,0.309067099789403,410
1,1.87967414930317,14.7640770572433,62.3089462830644,-0.379077733864283,-0.0917498248658863,0.116096910518134,0.309067099789403,410
1.5,1.23026706516463,21.5810847469336,62.3089462830644,-0.269084216535708,-0.0897183473726162,0.116096910518134,0.309067099789403,410
2,0.909487576541374,28.4463048136228,62.3089462830644,-0.209664294638665,-0.0850011235721929,0.116096910518134,0.309067099789403,410
3,0.607053145812302,42.2409184361543,62.3089462830644,-0.151967200048682,-0.0761834900008906,0.116096910518134,0.309067099789403,410
4.5,0.397612160795955,63.0638040106276,62.3089462830644,-0.108678971814465,-0.0627070343235103,0.116096910518134,0.309067099789403,410
6,0.298705371891367,84.8888670989856,62.3089462830644,-0.0866016366529646,-0.0533840994286145,0.116096910518134,0.309067099789403,410
8,0.22346388806623,113.808280395915,62.3089462830644,-0.0682708388306204,-0.0440846498386545,0.116096910518134,0.309067099789403,410
